Material_Type,Product_Type,Industry,Strength (1-10),Weight Capacity (kg),Biodegradability Score (1-10),Recyclability (%),Cost (USD),CO2 Emission (kg CO2/kg)
Recycled Plastic,Milk Carton,Food & Beverage,10,1.61,3,71.65,2.69,1.52
Bioplastic (PLA),Juice Carton,Food & Beverage,6,7.2,10,62.18,2.97,1.13
Bioplastic (PLA),Book Packaging Wrap,Retail,7,1.99,9,60.92,2.13,0.84
Aluminum,Medicine Bottle,Pharmaceuticals,9,0.42,2,88.38,2.39,1.67
Recycled Plastic,Bread Bag,Food & Beverage,6,0.63,1,70.07,1.76,2.7
Cardboard,Tissue Box,Household,7,0.35,10,88.41,1.16,1.33
Kraft Paper,Razor Packaging,Personal Care,10,0.1,7,71.84,2.37,1.14
Molded Pulp,Component Tray,Electronics,8,22.17,8,76.47,1.88,1.14
Bioplastic (PLA),Garbage Bag,Household,3,24.42,9,77.87,2.18,0.33
Kraft Paper,Snack Packaging,Food & Beverage,4,14,7,86.46,1.47,1.48
Glass,Cooking Oil Bottle,Food & Beverage,10,1.59,2,92.17,3.8,3.74
Molded Pulp,Component Tray,Electronics,3,23.87,9,80.85,2.9,0.69
Aluminum,Chemical Storage Bottle,Chemicals,8,3.04,2,86.48,2.54,2.43
Glass,Cooking Oil Bottle,Food & Beverage,5,3.79,1,79.27,4.63,4.3
Recycled Plastic,Tea Pouch,Food & Beverage,5,0.16,1,74.46,2.99,1.84
PET Plastic,Pharma Vial,Pharmaceuticals,9,0.16,3,66.71,1.63,4.37
Corrugated Cardboard,Laptop Packaging Box,Electronics,9,1.81,10,76.84,1.65,0.55
PET Plastic,Hair Oil Bottle,Personal Care,10,0.26,1,64.04,1.57,3.22
PET Plastic,Razor Packaging,Personal Care,3,0.09,2,59.48,2.47,4.94
Cardboard,Deodorant Stick,Personal Care,4,0.19,8,73.97,2.92,1.27
Recycled Plastic,Dishwash Liquid Bottle,Household,4,1.35,2,70.46,2.18,1.74
Cardboard,Milk Carton,Food & Beverage,8,1.37,9,78.33,1.71,1.29
Kraft Paper,Bread Bag,Food & Beverage,8,1.2,10,80.25,2.45,0.99
Molded Pulp,Seedling Tray,Agriculture,8,10.78,8,71.21,2.25,1.11
PP Plastic,Face Wash Tube,Personal Care,7,0.24,1,56.34,2.34,4.47
Bioplastic (PLA),Shopping Bag,Retail,5,0.81,8,66.66,3.78,1.05
Aluminum,Pharma Vial,Pharmaceuticals,10,1.74,2,86.82,2.29,2.47
Aluminum,Cream Jar,Cosmetics,10,0.79,3,90.32,1.71,1.89
Recycled Plastic,Industrial Drum,Chemicals,6,59.08,1,80.78,1.7,1.82
Recycled Plastic,Yogurt Cup,Food & Beverage,6,0.4,2,75.12,2.41,3.02
Cardboard,Book Packaging Wrap,Retail,5,1.77,10,88.81,2.17,0.6
Bagasse Fiber,Pizza Box,Food & Beverage,8,2.59,8,65.06,1.58,1.06
Glass,Pharma Vial,Pharmaceuticals,3,1.18,1,87.08,3.31,4.67
PET Plastic,Dishwash Liquid Bottle,Household,9,1.26,2,56.9,2.12,3.82
Steel,Industrial Drum,Chemicals,5,98.01,1,83.12,6.87,4.58
Cardboard,Food Container,Food & Beverage,4,16.71,7,87.41,2.26,1.3
Bioplastic (PLA),Snack Packaging,Food & Beverage,10,8.32,9,73.2,2.4,0.43
Steel,Industrial Drum,Chemicals,8,78.45,1,64.45,8.48,6.13
HDPE Plastic,Conditioner Bottle,Personal Care,8,0.57,2,63.9,2.26,5.09
Aluminum,Industrial Drum,Chemicals,8,17.33,1,86.15,1.63,1.66
Glass,Hair Oil Bottle,Personal Care,10,0.39,2,91.45,5.95,3.64
PP Plastic,Seedling Tray,Agriculture,5,5.27,2,71.17,3.28,3.31
Aluminum,Chocolate Wrapper,Food & Beverage,10,0.28,3,87.59,3.2,2.3
HDPE Plastic,Cooking Oil Bottle,Food & Beverage,9,1.37,1,74.64,3.12,3.51
Bioplastic (PLA),Butter Tub,Food & Beverage,4,0.15,9,78.46,2.22,1.36
HDPE Plastic,Honey Jar,Food & Beverage,9,1.05,1,54.79,2.41,2.52
Recycled Plastic,Bread Bag,Food & Beverage,6,0.5,3,70.88,1.32,1.64
Recycled Plastic,Juice Carton,Food & Beverage,5,15.89,1,84.41,1.56,1.87
Kraft Paper,Juice Carton,Food & Beverage,3,28.69,9,84.76,1.28,1.16
Recycled Plastic,Industrial Drum,Chemicals,6,38.07,3,74.91,2.34,3.27
PET Plastic,Dishwash Liquid Bottle,Household,5,0.6,1,66.98,2.67,3.13
HDPE Plastic,Chemical Storage Bottle,Chemicals,9,3.68,1,73.77,1.94,4.01
Bioplastic (PLA),Face Wash Tube,Personal Care,9,0.14,9,82.36,2.95,1.43
Steel,Industrial Drum,Chemicals,3,76.24,1,71.81,8.07,5.23
Corrugated Cardboard,Power Bank Box,Electronics,5,0.44,7,79.21,2.19,1.63
Corrugated Cardboard,Book Packaging Wrap,Retail,10,2.78,10,80.64,1.63,0.89
Bioplastic (PLA),Bread Bag,Food & Beverage,9,0.69,9,80.37,2.63,0.78
HDPE Plastic,Chemical Storage Bottle,Chemicals,10,2.66,3,75.96,2.08,4.53
PET Plastic,Hair Oil Bottle,Personal Care,10,0.38,3,74.2,2.09,4.03
Kraft Paper,Razor Packaging,Personal Care,7,0.11,9,81.92,2.79,0.76
PP Plastic,Toilet Cleaner Bottle,Household,10,0.5,3,53.14,2,4.87
HDPE Plastic,Shampoo Bottle,Personal Care,9,0.38,3,65.68,2.35,2.58
Recycled Plastic,Medical Device Box,Healthcare,7,18.13,3,76.88,2.53,2.03
Recycled Plastic,Conditioner Bottle,Personal Care,3,0.69,3,81.21,1.22,2.39
Glass,Body Lotion Bottle,Personal Care,8,0.76,1,78.4,5.24,3.28
Aluminum,Chemical Storage Bottle,Chemicals,10,2.75,2,92.62,1.65,1.57
Bamboo,Cosmetic Packaging Box,Cosmetics,7,6.88,10,56.69,4.86,0.65
Cardboard,Earphone Box,Electronics,9,0.18,10,74.08,2.19,0.82
HDPE Plastic,Conditioner Bottle,Personal Care,9,0.59,2,73.99,1.87,3.39
Aluminum,Toothpaste Tube,Personal Care,7,0.12,1,85.78,3.16,1.85
Corrugated Cardboard,Tissue Box,Household,7,0.37,7,83.08,1.88,0.63
Glass,Water Bottle,Food & Beverage,6,3.27,2,78.83,5.33,3.23
PP Plastic,Bubble Wrap,Logistics,5,7.54,1,67.77,2.15,2.81
Bioplastic (PLA),Snack Packaging,Food & Beverage,10,15.34,9,82.78,3.11,0.51
PP Plastic,Coffee Pouch,Food & Beverage,3,1.17,3,64.95,1.84,2.76
Steel,Industrial Drum,Chemicals,10,84.04,1,72.67,7.16,4.46
Aluminum,Pill Blister Pack,Pharmaceuticals,10,38.73,1,88.74,2.3,1.67
Corrugated Cardboard,Shipping Box,Logistics,7,20.57,7,78,2.01,1.47
Molded Pulp,Phone Box,Electronics,5,10.21,9,67.56,3.11,1.08
Cardboard,Paper Carry Bag,Retail,6,6.4,10,85.57,2.2,0.92
PP Plastic,Butter Tub,Food & Beverage,5,0.12,1,74.82,2.2,4.74
Bagasse Fiber,Pizza Box,Food & Beverage,7,15.76,9,77.74,2.18,0.48
Bioplastic (PLA),Shampoo Bottle,Personal Care,5,0.7,9,78.3,2.5,1.06
Bioplastic (PLA),Lipstick Tube,Cosmetics,10,0.56,8,82.39,2.38,0.7
Corrugated Cardboard,Laptop Packaging Box,Electronics,9,5.64,8,74.69,1.23,0.58
Molded Pulp,Power Bank Box,Electronics,3,0.67,8,68.59,1.65,1.36
Foam,Component Tray,Electronics,6,9.73,9,66.93,3.76,0.95
Recycled Plastic,Cooking Oil Bottle,Food & Beverage,4,4.05,1,81.34,1.79,3.24
Bagasse Fiber,Produce Bag,Agriculture,7,6.87,8,66.44,1.97,0.94
PP Plastic,Bread Bag,Food & Beverage,3,0.53,1,59.94,3.4,3.12
Aluminum,Conditioner Bottle,Personal Care,8,0.38,1,89.64,3.43,2.02
Recycled Plastic,Toothpaste Tube,Personal Care,10,0.17,3,72.31,1.05,2.55
Aluminum,Chemical Storage Bottle,Chemicals,8,0.31,2,85.66,2.09,1.91
Aluminum,Sauce Bottle,Food & Beverage,7,0.43,1,86.25,2,1.63
Recycled Plastic,Garbage Bag,Household,7,28.44,3,89.07,1.33,2.42
Aluminum,Spray Bottle,Cosmetics,8,4.64,1,90.12,2.22,1.97
PP Plastic,Deodorant Stick,Personal Care,3,0.13,2,57.65,3.35,3.97
Bioplastic (PLA),Paper Carry Bag,Retail,6,9.27,9,60.65,3.66,0.63
Glass,Beverage Can,Food & Beverage,8,0.42,1,80.14,5.72,3.2
Bioplastic (PLA),Cream Jar,Cosmetics,10,4.93,9,61.58,2.85,0.32
Recycled Plastic,Egg Carton,Food & Beverage,9,1.1,1,73.45,1.06,2.32
Molded Pulp,Medical Device Box,Healthcare,7,2.81,10,82.41,2.4,1
Bagasse Fiber,Bread Bag,Food & Beverage,7,1.15,8,81.15,1.89,1.33
Recycled Plastic,Bread Bag,Food & Beverage,7,0.57,2,76.53,1.74,2.29
Recycled Plastic,Sauce Bottle,Food & Beverage,6,0.3,1,89.15,1.35,2.46
Recycled Plastic,Bread Bag,Food & Beverage,10,0.55,2,78.21,2.73,2.16
PP Plastic,Bubble Wrap,Logistics,6,9.9,3,52.76,2.37,3.45
PP Plastic,Face Wash Tube,Personal Care,8,0.23,1,67.63,2.08,3.21
Glass,Body Lotion Bottle,Personal Care,5,0.63,1,83.44,3.2,3.01
Glass,Medicine Bottle,Pharmaceuticals,3,2.95,1,78.16,4.13,4.62
Bagasse Fiber,Juice Carton,Food & Beverage,6,13.67,8,78.86,3.47,0.65
Bioplastic (PLA),Body Lotion Bottle,Personal Care,9,0.71,8,70.2,3.37,0.6
Aluminum,Spray Bottle,Cosmetics,10,2.84,2,87.73,3.35,1.85
Kraft Paper,Shopping Bag,Retail,6,6.65,8,73.49,1.23,1.22
Aluminum,Coffee Pouch,Food & Beverage,9,1.16,1,86.27,2.25,2.24
Corrugated Cardboard,Laptop Packaging Box,Electronics,4,7.79,10,74.93,2.87,1.63
PP Plastic,Pet Food Bag,Pet Care,6,1.05,2,66.25,3.42,4.08
Tempered Glass,Pharma Vial,Pharmaceuticals,10,1.54,1,79.24,5.3,3.81
PP Plastic,Industrial Drum,Chemicals,4,59.03,2,69.51,2.35,4.38
Recycled Plastic,Bubble Wrap,Logistics,5,3.9,1,87.5,1.61,1.76
Corrugated Cardboard,Cereal Box,Food & Beverage,3,0.51,9,73.94,1.66,1.41
Kraft Paper,Sterile Wrap,Healthcare,7,7.82,7,73.9,1.61,1.8
Cardboard,Charger Adapter Box,Electronics,9,0.47,7,74.73,1.23,1.39
PP Plastic,Bubble Wrap,Logistics,8,3.05,1,54.41,1.69,3.11
Aluminum,Lipstick Tube,Cosmetics,9,2.67,2,93.05,1.78,1.92
Bioplastic (PLA),Floor Cleaner Bottle,Household,4,2.45,10,72.88,2.52,0.6
PET Plastic,Sauce Bottle,Food & Beverage,10,1.35,3,60.73,2.88,3.91
HDPE Plastic,Shampoo Bottle,Personal Care,7,0.68,3,54.94,2.56,3.95
Corrugated Cardboard,Cereal Box,Food & Beverage,9,0.83,9,88.93,1.69,0.95
Bagasse Fiber,Egg Carton,Food & Beverage,8,1.44,9,80.86,3.43,0.65
HDPE Plastic,Fertilizer Bag,Agriculture,4,4.93,2,62.16,2.06,4.02
PP Plastic,Pallet Wrap,Logistics,5,1.81,3,69.06,1.62,4.99
HDPE Plastic,Floor Cleaner Bottle,Household,7,2.87,2,77.85,3.18,2.71
Glass,Hair Oil Bottle,Personal Care,3,0.11,1,85.34,5.49,4.44
Kraft Paper,Paper Carry Bag,Retail,7,3.05,9,88.37,2.7,0.87
Corrugated Cardboard,Medical Device Box,Healthcare,4,6.29,9,89.66,1.36,1.22
Recycled Plastic,Sauce Bottle,Food & Beverage,9,0.58,3,88.41,1.09,2.97
Kraft Paper,Charger Adapter Box,Electronics,9,0.5,9,73.06,1.09,1.3
Cardboard,Yogurt Cup,Food & Beverage,5,0.58,7,83.49,1.73,1.25
Recycled Plastic,Component Tray,Electronics,3,19.34,1,78.64,2.2,1.51
Aluminum,Conditioner Bottle,Personal Care,9,0.64,1,88.98,2.11,1.57
Aluminum,Spray Bottle,Cosmetics,8,2.43,3,91.01,2.63,1.63
Molded Pulp,Seedling Tray,Agriculture,5,6.84,8,84.62,3.06,1.37
PP Plastic,Seedling Tray,Agriculture,8,25.56,2,74.51,3.35,4.68
Kraft Paper,Shipping Box,Logistics,6,22.1,10,89.72,1.31,1.05
Aluminum,Toothpaste Tube,Personal Care,10,0.29,3,86.43,2.89,1.71
Recycled Plastic,Sugar Pouch,Food & Beverage,5,2.17,1,85.5,1.42,1.96
Recycled Plastic,Medicine Bottle,Pharmaceuticals,3,0.39,3,73.4,1.3,1.83
PET Plastic,Perfume Bottle,Cosmetics,10,1.4,1,66.46,1.9,2.56
Corrugated Cardboard,Laundry Detergent Box,Household,8,1.86,7,89.84,2.69,0.92
Recycled Plastic,Butter Tub,Food & Beverage,9,0.47,1,83.61,2.82,1.78
Cardboard,Medical Device Box,Healthcare,10,23.7,7,77.22,1.13,0.75
Molded Pulp,Ice Cream Tub,Food & Beverage,4,0.74,8,74.91,2.92,0.91
Recycled Plastic,Seedling Tray,Agriculture,6,1.22,1,70.33,2.03,1.62
Bioplastic (PLA),Pill Blister Pack,Pharmaceuticals,8,44.99,8,61.81,3.6,0.97
HDPE Plastic,Sauce Bottle,Food & Beverage,7,0.9,2,50.93,3.27,4.81
Recycled Plastic,Book Packaging Wrap,Retail,6,0.41,1,71.56,2.76,2.12
Molded Pulp,Medical Device Box,Healthcare,6,2.89,10,66.16,2.52,0.86
Recycled Plastic,Gift Box,Retail,8,1.74,1,76.93,2.59,3.28
PET Plastic,Face Wash Tube,Personal Care,10,0.17,3,74.63,2.59,3.51
PP Plastic,Ice Cream Tub,Food & Beverage,6,0.99,2,55.06,2.53,3.03
Corrugated Cardboard,Heavy Crate,Logistics,4,55.97,7,74.03,1.59,0.67
Jute,Shopping Bag,Retail,6,1.34,9,65.28,2.31,1.33
Cardboard,Laptop Packaging Box,Electronics,4,23.96,9,70.35,1.64,0.79
HDPE Plastic,Fertilizer Bag,Agriculture,10,4.83,3,69.94,2.4,3.26
Cardboard,Medical Device Box,Healthcare,3,3.43,9,88.42,1.82,0.66
Recycled Plastic,Shopping Bag,Retail,5,3.38,1,82.51,1.76,3.1
Tempered Glass,Perfume Bottle,Cosmetics,4,0.41,1,88.45,4.26,4.45
Kraft Paper,Shipping Box,Logistics,9,21.72,7,84.35,2.2,1.26
Recycled Plastic,Yogurt Cup,Food & Beverage,10,0.58,1,81.45,2.91,2.18
Recycled Plastic,Phone Box,Electronics,10,12.35,3,75.72,1.23,1.63
Recycled Plastic,Cosmetic Packaging Box,Cosmetics,4,0.63,3,81.95,2.6,1.77
Recycled Plastic,Spray Bottle,Cosmetics,10,4.97,1,85.83,1.95,2.57
Mushroom Packaging,Pizza Box,Food & Beverage,6,8.38,8,73.03,3.95,0.45
Recycled Plastic,Coffee Pouch,Food & Beverage,7,1.17,3,87.19,1.43,2.31
Bagasse Fiber,Tea Pouch,Food & Beverage,4,0.49,8,75.12,2.8,1.45
Kraft Paper,Razor Packaging,Personal Care,6,0.08,8,79.87,1.59,0.99
Bioplastic (PLA),Garbage Bag,Household,7,25.56,8,74.8,2.25,0.49
Bioplastic (PLA),Syringe Packaging,Pharmaceuticals,10,20.57,9,64.11,3.35,1.44
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,8,0.27,9,65.79,1.72,1.47
Kraft Paper,Earphone Box,Electronics,3,0.18,8,89.56,2.72,1.76
PET Plastic,Water Bottle,Food & Beverage,8,1.91,1,78.59,2.16,4.16
Bioplastic (PLA),Tea Pouch,Food & Beverage,8,0.49,9,78.06,2.26,1.01
Bagasse Fiber,Bread Bag,Food & Beverage,8,0.76,10,84.22,1.74,1.18
Bioplastic (PLA),Milk Carton,Food & Beverage,5,1.92,8,62.67,3.93,0.99
Bioplastic (PLA),Produce Bag,Agriculture,8,1.65,8,74.26,3.87,0.47
Corrugated Cardboard,Shipping Box,Logistics,7,8.37,9,71.22,2.41,1.73
Recycled Plastic,Laundry Detergent Box,Household,6,3.77,2,74.62,1.74,2.07
HDPE Plastic,Sauce Bottle,Food & Beverage,6,0.39,2,51.18,2.56,4.2
Recycled Plastic,Floor Cleaner Bottle,Household,5,1.34,2,80.02,2.61,2.03
Recycled Plastic,Sugar Pouch,Food & Beverage,7,4.47,3,82.73,1.2,2.6
Kraft Paper,Sugar Pouch,Food & Beverage,3,3.16,9,72.27,1.31,1.98
PP Plastic,Chemical Storage Bottle,Chemicals,3,1.11,3,69.16,2.67,3.92
Bamboo,Gift Box,Retail,8,4.07,7,71.82,3.43,0.93
Cardboard,Book Packaging Wrap,Retail,6,0.74,9,80.75,2.69,0.98
PET Plastic,Dishwash Liquid Bottle,Household,9,1.4,3,50.51,3.3,5.27
Recycled Plastic,Medical Device Box,Healthcare,5,22.15,1,71.98,1.53,2.98
PP Plastic,Snack Packaging,Food & Beverage,4,25.86,1,70.24,3.1,4.83
Bioplastic (PLA),Toilet Cleaner Bottle,Household,10,0.59,8,83.23,2.76,0.33
Cardboard,Laptop Packaging Box,Electronics,10,17.31,7,85.57,1.66,1.21
Cardboard,Tissue Box,Household,8,0.26,10,82.48,2.3,1.38
Aluminum,Pharma Vial,Pharmaceuticals,8,3,1,88.31,3.02,2.03
Kraft Paper,Cereal Box,Food & Beverage,10,1.06,9,75.58,1.88,1.04
Bioplastic (PLA),Body Lotion Bottle,Personal Care,3,0.73,10,67.73,2.56,1.47
PP Plastic,Face Wash Tube,Personal Care,10,0.35,1,55.28,2.47,3.35
Recycled Plastic,Razor Packaging,Personal Care,10,0.05,1,86.97,1.28,2.66
Bioplastic (PLA),Wet Wipes Pack,Household,7,0.23,8,62.59,2.28,1.16
Steel,Chemical Storage Bottle,Chemicals,3,0.92,1,80.2,6.13,5.84
Corrugated Cardboard,Cereal Box,Food & Beverage,7,0.66,7,77.44,1.4,1.32
Bioplastic (PLA),Food Container,Food & Beverage,5,20.13,10,81.98,3.62,1.11
HDPE Plastic,Sauce Bottle,Food & Beverage,6,0.83,3,66.23,3.19,4.92
Glass,Sauce Bottle,Food & Beverage,8,1.3,1,83.47,3.62,5.42
Kraft Paper,Razor Packaging,Personal Care,6,0.09,7,82.15,1.37,1.44
Aluminum,Medicine Bottle,Pharmaceuticals,7,3.36,2,85.54,3.23,1.72
Bagasse Fiber,Pet Food Bag,Pet Care,4,7.69,10,71.77,3.19,1.27
Bioplastic (PLA),Hair Oil Bottle,Personal Care,6,0.39,9,82.08,2.33,0.57
Glass,Perfume Bottle,Cosmetics,5,4.18,2,72.76,4.53,5.82
Mushroom Packaging,Food Container,Food & Beverage,3,28.93,10,84.79,3.33,0.54
PET Plastic,Honey Jar,Food & Beverage,5,0.56,2,54.6,1.57,4.74
Bioplastic (PLA),Tissue Box,Household,10,0.46,8,77.99,3.16,0.93
Kraft Paper,Smartwatch Box,Electronics,5,0.3,10,75.12,1.17,1.92
Bagasse Fiber,Shopping Bag,Retail,8,4.05,10,66.79,1.59,0.88
PET Plastic,Floor Cleaner Bottle,Household,8,1.31,2,76.1,2.54,4.65
Glass,Medicine Bottle,Pharmaceuticals,5,2.79,2,94.11,6.58,4.95
Bioplastic (PLA),Deodorant Stick,Personal Care,6,0.19,10,77.6,2.68,0.67
Aluminum,Pharma Vial,Pharmaceuticals,9,1.15,1,85.69,2.05,2.1
Recycled Plastic,Toothpaste Tube,Personal Care,9,0.2,2,73.22,2.31,3.44
Wood,Smartwatch Box,Electronics,7,0.5,7,54.2,4.64,1.2
Bioplastic (PLA),Dishwash Liquid Bottle,Household,3,0.51,10,68.27,3.74,1.11
Aluminum,Toothpaste Tube,Personal Care,8,0.18,2,86.72,2.51,1.91
HDPE Plastic,Sterile Wrap,Healthcare,3,0.35,3,78.52,3.47,2.81
PP Plastic,Toothpaste Tube,Personal Care,5,0.23,2,60.69,2.39,4.12
HDPE Plastic,Garbage Bag,Household,5,28.58,1,78.76,1.56,2.77
Bioplastic (PLA),Bread Bag,Food & Beverage,9,0.76,8,72.6,3.29,0.76
Kraft Paper,Shopping Bag,Retail,4,1.53,7,71.69,2.86,1.4
Recycled Plastic,Laundry Detergent Box,Household,6,1.06,1,73.57,1.74,2.85
Recycled Plastic,Honey Jar,Food & Beverage,3,0.42,2,79.74,2.89,2.54
PP Plastic,Sugar Pouch,Food & Beverage,8,4.51,1,63.07,1.87,3.3
Recycled Plastic,Water Bottle,Food & Beverage,8,1.7,2,85.95,1.62,2.41
PP Plastic,Syringe Packaging,Pharmaceuticals,9,5.08,3,62.03,2.07,4.98
Molded Pulp,Component Tray,Electronics,5,18.36,8,75.46,2.93,0.52
Bioplastic (PLA),Deodorant Stick,Personal Care,4,0.2,8,78.24,3.93,0.49
Bagasse Fiber,Garbage Bag,Household,8,9.3,8,69.09,2.62,1.06
Aluminum,Chemical Storage Bottle,Chemicals,9,2.1,3,88.04,2.13,2.4
Bioplastic (PLA),Juice Carton,Food & Beverage,8,6.57,10,66.01,2.89,0.64
Kraft Paper,Pet Food Bag,Pet Care,10,4.73,7,76.65,1.64,0.55
Cardboard,Food Container,Food & Beverage,8,43.64,9,83.93,2.4,0.76
Recycled Plastic,Syringe Packaging,Pharmaceuticals,3,6.24,2,81.89,2.32,2
Jute,Fertilizer Bag,Agriculture,8,1.65,9,70.13,4.43,0.72
Bagasse Fiber,Tea Pouch,Food & Beverage,4,0.38,8,69.23,1.88,0.92
Glass,Butter Tub,Food & Beverage,3,0.68,2,92.47,4.07,3.6
Bioplastic (PLA),Garbage Bag,Household,5,4.78,9,67.67,2.53,0.91
Recycled Plastic,Cosmetic Packaging Box,Cosmetics,9,4.59,1,78.73,1.09,1.99
Cardboard,Egg Carton,Food & Beverage,6,1,10,84.77,2.97,1.44
HDPE Plastic,Honey Jar,Food & Beverage,9,0.89,2,61.09,2.23,2.87
Bioplastic (PLA),Ice Cream Tub,Food & Beverage,7,0.53,8,63.62,3.61,0.67
Bioplastic (PLA),Produce Bag,Agriculture,3,9.67,8,68.79,3.23,0.7
Recycled Plastic,Cosmetic Packaging Box,Cosmetics,10,8.6,3,86.42,2.09,2.18
PET Plastic,Toilet Cleaner Bottle,Household,10,0.46,3,59.92,3.35,3.31
Molded Pulp,Seedling Tray,Agriculture,3,16.9,9,84.43,1.88,1.31
Bioplastic (PLA),Produce Bag,Agriculture,8,3.37,8,80.22,3.79,0.67
Tempered Glass,Pharma Vial,Pharmaceuticals,8,0.44,2,92.82,3.48,4.74
Recycled Plastic,Butter Tub,Food & Beverage,6,0.11,3,85.48,2.64,1.99
Recycled Plastic,Conditioner Bottle,Personal Care,8,0.26,1,83.19,1.32,2.01
Bioplastic (PLA),Pill Blister Pack,Pharmaceuticals,4,18.42,8,84.26,3.59,0.61
Aluminum,Deodorant Stick,Personal Care,10,0.09,1,85.24,1.67,1.92
Recycled Plastic,Razor Packaging,Personal Care,10,0.06,3,75.38,2.2,1.9
Corrugated Cardboard,Laundry Detergent Box,Household,4,3.61,10,89.37,1.38,1.31
Glass,Perfume Bottle,Cosmetics,9,0.85,2,94.35,4.45,4.8
Kraft Paper,Medical Device Box,Healthcare,6,8.8,10,82.65,1.21,1.45
PP Plastic,Ice Cream Tub,Food & Beverage,5,0.54,1,50.4,1.67,3.76
Bagasse Fiber,Shopping Bag,Retail,4,1.44,10,80.23,2.56,0.96
PP Plastic,Pill Blister Pack,Pharmaceuticals,10,34.14,1,73.88,1.52,2.98
Bioplastic (PLA),Pallet Wrap,Logistics,3,6.63,9,81.22,2.8,1.49
Glass,Water Bottle,Food & Beverage,3,2.89,1,94.76,4.65,4.12
Bioplastic (PLA),Face Wash Tube,Personal Care,4,0.11,8,65.27,3.9,0.7
HDPE Plastic,Chemical Storage Bottle,Chemicals,3,2.25,3,70.72,1.72,3.97
Recycled Plastic,Bread Bag,Food & Beverage,10,0.53,3,83.67,1.97,3.32
Molded Pulp,Medical Device Box,Healthcare,5,10.71,9,71.16,2.34,1.21
PET Plastic,Beverage Can,Food & Beverage,10,1.07,3,51.21,1.69,2.52
PP Plastic,Seedling Tray,Agriculture,9,15.31,2,62.02,2.27,4
Glass,Cooking Oil Bottle,Food & Beverage,6,2.77,1,89.12,3.03,4.43
Recycled Plastic,Yogurt Cup,Food & Beverage,4,0.17,2,71.23,1.44,3.29
Recycled Plastic,Component Tray,Electronics,5,4.19,3,89.94,1.35,1.79
Bagasse Fiber,Shopping Bag,Retail,5,7.92,10,81.23,2.28,0.66
Kraft Paper,Laundry Detergent Box,Household,3,1.27,10,82.32,1.98,1.91
Recycled Plastic,Sauce Bottle,Food & Beverage,3,0.46,2,74.55,2.49,1.84
Kraft Paper,Toothpaste Tube,Personal Care,7,0.19,10,77.94,1.91,1.12
