material_type,product_type,industry,strength,weight_capacity,biodegradability_score,recyclability,cost,co2_emission
Corrugated Cardboard,Protective Box,Home Appliances,8,12.95,7,80.47,1.08,0.826
Recycled PET,Laptop Box,Electronics,8,23.22,2,92.51,2.18,2.091
PLA Bioplastic,Perfume Bottle,Cosmetics,9,9.53,6,68.62,2.66,1.167
Aluminum,Spare Parts Box,Automotive,8,31.1,1,95.52,3.57,3.558
Glass,Medicine Box,Healthcare,10,36.53,2,95.27,3.12,1.771
Bagasse Fiber,TV Carton,Electronics,5,8.87,9,80.15,1.72,0.485
Kraft Paper,Cement Liner Bag,Construction,6,5.83,8,91.73,0.47,0.55
Aluminum,Hardware Container,Construction,8,21.7,1,97.47,4.91,3.439
Aluminum,Protective Cushioning Pack,Furniture,9,26.62,1,99.84,2.72,3.591
Kraft Paper,Mobile Box,Electronics,7,13.67,9,85.84,1.48,0.62
Corrugated Cardboard,Food Tray,Food Packaging,7,32.3,8,91.37,1.66,0.858
Bagasse Fiber,Laptop Box,Electronics,6,12.37,10,81.66,1.14,0.476
PLA Bioplastic,Action Figure Pack,Toys,7,18.88,8,58.1,1.01,1.121
Aluminum,Clothing Box,Textiles,8,31.16,1,97.92,4.95,3.479
Bagasse Fiber,TV Carton,Electronics,5,6.75,8,71.11,2.0,0.511
Bagasse Fiber,Makeup Box,Cosmetics,5,10.71,8,73.25,2.04,0.501
Glass,Medicine Box,Healthcare,10,27.68,1,96.39,5.09,1.909
Mushroom Packaging,Tile Packaging,Construction,6,10.29,10,61.55,1.37,0.36
Mushroom Packaging,Electronic Blister Pack,Electronics,7,14.98,9,72.06,2.02,0.368
Glass,Perfume Bottle,Cosmetics,10,28.33,1,98.07,2.46,1.72
Mushroom Packaging,Foam Insert Package,Home Appliances,6,16.66,9,75.55,3.19,0.385
Corrugated Cardboard,Protective Box,Home Appliances,8,24.85,9,84.72,1.43,0.742
Corrugated Cardboard,Medicine Box,Healthcare,7,10.92,9,90.38,1.0,0.795
Aluminum,Medicine Box,Healthcare,8,34.95,1,97.93,2.69,3.497
Kraft Paper,Spare Parts Box,Automotive,5,8.78,8,94.54,0.67,0.547
Corrugated Cardboard,Tile Packaging,Construction,6,28.92,8,84.3,0.99,0.793
Kraft Paper,Beverage Bottle,Food Packaging,5,10.2,9,93.16,1.18,0.574
Glass,Oil Container,Automotive,9,28.07,2,97.4,4.55,1.845
Recycled PET,Assembly Kit Box,Furniture,8,24.59,4,85.15,3.72,2.078
Kraft Paper,Board Game Box,Toys,5,8.92,10,85.91,0.87,0.583
Glass,Appliance Carton,Home Appliances,9,35.67,2,98.49,2.48,1.811
Mushroom Packaging,Tile Packaging,Construction,5,12.92,10,61.32,2.84,0.306
Glass,Oil Container,Automotive,9,26.95,2,95.38,5.04,1.735
Aluminum,TV Carton,Electronics,10,26.0,2,98.2,4.18,3.533
Mushroom Packaging,Takeaway Container,Food Packaging,5,16.97,9,72.04,2.97,0.423
Recycled PET,Makeup Box,Cosmetics,8,20.18,3,86.77,2.73,2.101
Corrugated Cardboard,Oil Container,Automotive,6,21.52,8,81.11,1.28,0.739
Aluminum,Mobile Box,Electronics,9,22.35,2,95.31,3.78,3.442
Mushroom Packaging,Clothing Box,Textiles,5,13.97,10,69.69,1.26,0.373
Glass,Fabric Wrap,Textiles,10,34.41,2,95.18,2.43,1.739
Aluminum,Beverage Bottle,Food Packaging,10,33.43,2,96.99,2.59,3.482
Recycled PET,TV Carton,Electronics,9,23.46,2,87.11,3.09,2.145
Bagasse Fiber,Garment Bag,Textiles,5,14.01,8,77.48,1.33,0.553
Glass,Cement Liner Bag,Construction,10,31.15,2,97.16,4.03,1.833
Corrugated Cardboard,Cream Jar,Cosmetics,6,19.08,8,85.98,1.86,0.729
Corrugated Cardboard,Toy Box,Toys,6,10.19,7,81.83,0.87,0.83
PLA Bioplastic,Protective Cushioning Pack,Furniture,7,11.42,8,68.35,1.82,1.209
Corrugated Cardboard,Board Game Box,Toys,7,14.27,9,89.85,1.63,0.845
PLA Bioplastic,Protective Box,Home Appliances,9,13.72,6,56.47,1.46,1.167
Corrugated Cardboard,Cosmetic Tube,Cosmetics,9,16.06,9,88.49,0.62,0.829
Glass,Toy Box,Toys,9,38.64,1,96.68,3.16,1.767
Aluminum,Clothing Box,Textiles,9,34.85,1,98.42,2.98,3.502
Aluminum,Hardware Container,Construction,8,20.04,1,97.06,5.29,3.464
Glass,Medicine Box,Healthcare,10,39.3,2,99.66,5.23,1.922
Bagasse Fiber,Mobile Box,Electronics,7,6.6,9,81.99,1.88,0.527
Recycled PET,Perfume Bottle,Cosmetics,8,18.54,3,90.23,3.68,2.135
Recycled PET,Hardware Container,Construction,9,20.89,4,91.24,3.51,2.128
Aluminum,Syringe Pack,Healthcare,10,28.66,1,99.5,3.06,3.515
Glass,Protective Cushioning Pack,Furniture,9,38.13,1,96.66,5.57,1.686
Kraft Paper,Cosmetic Tube,Cosmetics,7,6.67,10,91.2,0.95,0.672
Aluminum,Tile Packaging,Construction,10,31.83,2,98.89,4.92,3.541
Bagasse Fiber,Tablet Blister Pack,Healthcare,6,12.43,8,83.15,2.32,0.55
Glass,Tablet Blister Pack,Healthcare,9,22.21,2,97.51,3.27,1.913
Recycled PET,Pizza Box,Food Packaging,10,21.13,2,92.2,1.78,2.053
Bagasse Fiber,Makeup Box,Cosmetics,6,8.27,8,76.35,1.19,0.441
PLA Bioplastic,Garment Bag,Textiles,9,18.94,7,52.02,1.85,1.166
Mushroom Packaging,Syringe Pack,Healthcare,7,17.32,10,61.38,3.08,0.37
Glass,Perfume Bottle,Cosmetics,10,36.81,1,97.25,5.44,1.865
Kraft Paper,Spare Parts Box,Automotive,5,6.86,10,88.99,0.31,0.727
Corrugated Cardboard,Laptop Box,Electronics,7,30.07,7,87.24,1.27,0.826
Bagasse Fiber,Makeup Box,Cosmetics,5,13.77,9,81.06,1.51,0.436
PLA Bioplastic,Medical Container,Healthcare,8,13.43,8,54.96,1.44,1.135
Bagasse Fiber,TV Carton,Electronics,6,6.3,8,79.48,1.0,0.554
Corrugated Cardboard,Appliance Carton,Home Appliances,8,34.39,7,81.78,1.01,0.708
Bagasse Fiber,Board Game Box,Toys,7,14.97,8,75.96,2.4,0.447
Mushroom Packaging,Makeup Box,Cosmetics,7,11.49,10,63.81,1.94,0.344
Kraft Paper,Beverage Bottle,Food Packaging,4,12.76,10,89.81,0.92,0.721
Aluminum,Action Figure Pack,Toys,8,25.02,1,99.73,4.61,3.597
PLA Bioplastic,Garment Bag,Textiles,7,14.32,6,50.54,1.73,1.247
Mushroom Packaging,Assembly Kit Box,Furniture,7,14.72,9,71.9,3.44,0.464
Recycled PET,TV Carton,Electronics,10,28.31,4,94.89,3.91,2.143
PLA Bioplastic,Food Tray,Food Packaging,9,12.77,6,52.82,1.5,1.231
Aluminum,Protective Cushioning Pack,Furniture,9,21.28,1,98.52,3.99,3.517
Recycled PET,Syringe Pack,Healthcare,10,18.89,3,88.63,2.25,2.144
Recycled PET,Furniture Carton,Furniture,9,26.61,2,94.48,2.21,2.012
Kraft Paper,Toy Box,Toys,5,9.87,9,89.71,0.34,0.573
PLA Bioplastic,Tablet Blister Pack,Healthcare,6,11.22,7,52.79,2.22,1.133
Kraft Paper,Tile Packaging,Construction,4,6.72,10,91.83,0.9,0.637
Mushroom Packaging,Board Game Box,Toys,5,16.15,9,73.03,1.32,0.42
Recycled PET,Fabric Wrap,Textiles,9,17.1,4,94.0,2.2,2.015
Mushroom Packaging,Action Figure Pack,Toys,6,14.01,9,76.76,3.29,0.538
Kraft Paper,Oil Container,Automotive,5,5.47,9,92.38,0.59,0.589
Bagasse Fiber,Perfume Bottle,Cosmetics,7,8.21,8,83.73,1.05,0.489
Glass,Assembly Kit Box,Furniture,10,27.93,2,99.68,3.96,1.86
Kraft Paper,Spare Parts Box,Automotive,7,10.4,10,89.96,1.48,0.571
Kraft Paper,Appliance Carton,Home Appliances,5,6.07,8,88.52,0.59,0.606
Recycled PET,Medicine Box,Healthcare,10,23.97,2,92.99,3.18,2.135
Glass,Cream Jar,Cosmetics,10,22.06,1,95.46,5.05,1.772
Corrugated Cardboard,Medicine Box,Healthcare,7,27.26,7,90.48,0.86,0.809
Recycled PET,Beverage Bottle,Food Packaging,8,24.88,3,91.37,3.32,2.033
Kraft Paper,Pizza Box,Food Packaging,4,11.47,10,85.34,0.74,0.641
Corrugated Cardboard,Battery Packaging,Automotive,8,33.11,8,85.06,1.45,0.807
Glass,Protective Box,Home Appliances,10,36.89,2,98.25,4.53,1.91
Bagasse Fiber,Beverage Bottle,Food Packaging,5,6.69,8,77.95,1.71,0.517
Aluminum,Fabric Wrap,Textiles,10,24.73,1,98.69,2.77,3.602
Recycled PET,Medical Container,Healthcare,9,28.15,3,85.24,3.59,2.124
Glass,Garment Bag,Textiles,9,37.49,1,95.35,3.28,1.832
Glass,Hardware Container,Construction,9,28.04,1,97.4,2.75,1.791
Aluminum,Takeaway Container,Food Packaging,8,31.52,1,98.66,2.62,3.514
Recycled PET,Syringe Pack,Healthcare,9,19.46,3,87.96,2.98,1.996
Mushroom Packaging,Spare Parts Box,Automotive,5,17.1,9,73.59,2.76,0.303
Recycled PET,Clothing Box,Textiles,8,16.34,3,94.82,1.54,2.04
Glass,Beverage Bottle,Food Packaging,9,39.78,1,98.04,4.05,1.808
Kraft Paper,Fabric Wrap,Textiles,4,7.2,8,94.57,0.57,0.625
Recycled PET,Food Tray,Food Packaging,8,24.45,4,91.96,3.11,2.171
Mushroom Packaging,Beverage Bottle,Food Packaging,7,10.24,10,74.96,1.6,0.371
Bagasse Fiber,Laptop Box,Electronics,6,13.74,10,71.94,1.97,0.482
Corrugated Cardboard,TV Carton,Electronics,7,31.55,7,83.95,1.08,0.829
PLA Bioplastic,Laptop Box,Electronics,8,11.38,8,69.24,2.87,1.202
Corrugated Cardboard,Spare Parts Box,Automotive,7,22.38,8,87.11,0.71,0.768
Mushroom Packaging,Fabric Wrap,Textiles,6,13.44,9,75.95,1.98,0.429
Corrugated Cardboard,Takeaway Container,Food Packaging,8,31.68,7,84.01,0.67,0.782
Kraft Paper,Laptop Box,Electronics,7,11.19,9,94.61,1.41,0.61
Aluminum,TV Carton,Electronics,10,20.08,2,96.68,5.13,3.492
Kraft Paper,Assembly Kit Box,Furniture,7,10.56,8,87.87,0.61,0.589
Corrugated Cardboard,Medicine Box,Healthcare,9,16.5,7,89.36,1.49,0.8
Glass,Action Figure Pack,Toys,9,30.83,2,95.9,5.27,1.782
Glass,Spare Parts Box,Automotive,10,23.48,2,95.34,4.22,1.855
Glass,Medical Container,Healthcare,9,31.64,1,98.24,4.12,1.771
Bagasse Fiber,Hardware Container,Construction,7,6.59,8,74.85,1.21,0.596
Kraft Paper,Makeup Box,Cosmetics,6,9.46,9,86.02,0.41,0.634
Aluminum,TV Carton,Electronics,10,32.39,1,96.1,5.19,3.498
Glass,Protective Box,Home Appliances,10,33.09,1,96.6,5.6,1.708
Kraft Paper,Action Figure Pack,Toys,4,7.0,8,91.52,1.06,0.572
Bagasse Fiber,Protective Box,Home Appliances,7,14.71,9,77.96,1.38,0.492
Recycled PET,Assembly Kit Box,Furniture,8,28.68,3,91.17,2.37,2.041
Glass,Mobile Box,Electronics,9,22.5,2,96.13,4.9,1.818
Recycled PET,Board Game Box,Toys,8,23.85,4,94.84,3.74,2.021
Recycled PET,Medical Container,Healthcare,9,25.21,3,87.92,3.72,2.224
Bagasse Fiber,Laptop Box,Electronics,6,14.17,10,77.21,2.13,0.475
Corrugated Cardboard,Pizza Box,Food Packaging,9,34.67,9,88.43,1.46,0.92
Bagasse Fiber,Garment Bag,Textiles,5,10.66,8,83.24,0.94,0.499
Bagasse Fiber,Medicine Box,Healthcare,6,9.57,9,70.62,1.07,0.546
PLA Bioplastic,Medical Container,Healthcare,6,16.48,7,61.9,2.8,1.228
Aluminum,TV Carton,Electronics,8,30.64,2,98.92,4.32,3.507
Bagasse Fiber,Assembly Kit Box,Furniture,6,13.36,9,77.21,0.82,0.526
Kraft Paper,Electronic Blister Pack,Electronics,5,5.82,9,89.79,0.42,0.687
PLA Bioplastic,Cream Jar,Cosmetics,8,13.64,6,53.64,2.33,1.254
Aluminum,Furniture Carton,Furniture,10,22.43,2,99.98,2.52,3.453
PLA Bioplastic,TV Carton,Electronics,9,10.39,8,54.41,1.32,1.238
Aluminum,Action Figure Pack,Toys,8,32.61,1,98.71,4.15,3.52
Bagasse Fiber,Hardware Container,Construction,6,14.89,9,83.01,1.98,0.532
Kraft Paper,Electronic Blister Pack,Electronics,4,8.96,9,91.55,1.08,0.666
Kraft Paper,Makeup Box,Cosmetics,5,8.59,10,91.23,0.57,0.622
Aluminum,Pizza Box,Food Packaging,8,21.97,2,98.16,4.64,3.583
Recycled PET,Protective Box,Home Appliances,8,16.04,2,87.47,2.09,2.023
Corrugated Cardboard,Beverage Bottle,Food Packaging,9,24.82,8,84.79,0.99,0.734
Recycled PET,Perfume Bottle,Cosmetics,10,23.83,2,87.37,3.37,2.154
Glass,Fabric Wrap,Textiles,10,26.62,1,97.15,4.6,1.85
Bagasse Fiber,Cement Liner Bag,Construction,5,8.27,9,72.51,2.24,0.475
Recycled PET,TV Carton,Electronics,10,24.96,2,89.46,3.14,2.135
Recycled PET,Action Figure Pack,Toys,9,29.8,2,90.31,2.92,2.149
Recycled PET,Tile Packaging,Construction,8,16.83,3,91.88,1.73,2.11
Kraft Paper,Hardware Container,Construction,7,11.86,9,94.52,0.74,0.555
Corrugated Cardboard,Appliance Carton,Home Appliances,8,21.37,9,86.39,0.9,0.694
Recycled PET,Protective Cushioning Pack,Furniture,9,18.03,4,86.62,2.11,2.115
Aluminum,Spare Parts Box,Automotive,8,26.66,1,96.22,5.42,3.495
Mushroom Packaging,Fabric Wrap,Textiles,5,8.3,10,75.91,2.1,0.399
Corrugated Cardboard,Hardware Container,Construction,8,33.52,8,81.28,1.84,0.882
Mushroom Packaging,Foam Insert Package,Home Appliances,6,11.18,9,68.14,2.65,0.343
Recycled PET,Laptop Box,Electronics,10,26.08,3,91.68,3.49,2.016
Kraft Paper,Board Game Box,Toys,4,12.98,10,93.69,0.9,0.553
Glass,Medical Container,Healthcare,10,32.98,1,96.98,4.31,1.745
Bagasse Fiber,Battery Packaging,Automotive,5,10.04,8,78.19,1.64,0.428
Glass,Cosmetic Tube,Cosmetics,10,31.74,2,97.32,2.78,1.854
Kraft Paper,Perfume Bottle,Cosmetics,7,10.19,9,94.14,1.17,0.677
Bagasse Fiber,Clothing Box,Textiles,5,9.59,8,75.92,1.28,0.493
Glass,Protective Cushioning Pack,Furniture,10,34.31,1,95.09,2.1,1.718
Aluminum,Assembly Kit Box,Furniture,10,21.07,1,95.3,4.44,3.505
Glass,Spare Parts Box,Automotive,9,22.03,1,98.09,2.71,1.797
PLA Bioplastic,Oil Container,Automotive,6,17.64,8,64.35,2.88,1.159
Recycled PET,Appliance Carton,Home Appliances,9,16.83,4,86.23,3.88,2.108
Recycled PET,Fabric Wrap,Textiles,10,25.64,2,94.63,3.79,2.02
Aluminum,Tile Packaging,Construction,9,28.25,2,97.63,3.61,3.522
Glass,Protective Cushioning Pack,Furniture,9,37.68,1,95.87,2.06,1.829
Kraft Paper,Laptop Box,Electronics,7,12.7,8,87.37,1.41,0.658
Mushroom Packaging,Oil Container,Automotive,7,16.51,9,72.48,2.18,0.366
Kraft Paper,Syringe Pack,Healthcare,4,6.68,10,93.69,1.46,0.614
Recycled PET,Syringe Pack,Healthcare,8,17.68,2,90.47,3.91,2.161
Glass,Clothing Box,Textiles,9,31.89,2,95.71,5.41,1.881
Recycled PET,Makeup Box,Cosmetics,9,21.06,3,85.16,2.24,2.185
Glass,Takeaway Container,Food Packaging,9,32.06,2,97.89,3.54,1.779
Glass,Furniture Carton,Furniture,10,21.71,1,96.83,5.4,1.718
Aluminum,Toy Box,Toys,8,27.79,2,98.35,3.45,3.579
Mushroom Packaging,Oil Container,Automotive,6,14.8,10,73.39,1.59,0.341
Glass,Protective Cushioning Pack,Furniture,9,39.91,1,97.33,4.23,1.738
Bagasse Fiber,Food Tray,Food Packaging,6,14.62,8,72.56,2.39,0.566
Glass,Garment Bag,Textiles,9,36.44,2,96.74,4.78,1.835
PLA Bioplastic,Takeaway Container,Food Packaging,9,12.59,8,69.85,2.14,1.145
Bagasse Fiber,Takeaway Container,Food Packaging,5,13.58,8,71.39,0.97,0.484
Mushroom Packaging,Board Game Box,Toys,7,16.65,9,74.17,2.61,0.425
Aluminum,Hardware Container,Construction,9,25.13,1,95.44,5.47,3.529
Corrugated Cardboard,Laptop Box,Electronics,8,30.63,8,86.19,0.71,0.908
PLA Bioplastic,Cream Jar,Cosmetics,8,19.91,6,57.82,2.04,1.143
Glass,Tablet Blister Pack,Healthcare,10,32.56,2,96.52,5.51,1.828
Recycled PET,TV Carton,Electronics,10,17.6,3,87.24,3.35,2.13
Mushroom Packaging,Tile Packaging,Construction,6,16.22,9,72.13,2.8,0.302
Mushroom Packaging,Tablet Blister Pack,Healthcare,6,16.29,10,70.05,2.82,0.389
Corrugated Cardboard,Mobile Box,Electronics,6,19.19,7,91.59,1.04,0.803
Recycled PET,Tile Packaging,Construction,10,24.61,2,85.18,2.23,2.126
PLA Bioplastic,Protective Box,Home Appliances,8,8.74,8,59.69,2.62,1.172
Aluminum,Appliance Carton,Home Appliances,10,34.76,1,95.85,4.93,3.47
Bagasse Fiber,Spare Parts Box,Automotive,6,8.39,10,77.64,2.27,0.481
Recycled PET,Furniture Carton,Furniture,10,18.31,2,91.24,3.78,2.109
Kraft Paper,Action Figure Pack,Toys,6,12.92,10,88.68,0.91,0.532
Aluminum,Board Game Box,Toys,8,25.81,1,95.06,4.0,3.489
PLA Bioplastic,Foam Insert Package,Home Appliances,6,8.23,8,53.79,2.6,1.287
Recycled PET,Spare Parts Box,Automotive,8,27.51,2,94.76,3.12,2.14
Recycled PET,Appliance Carton,Home Appliances,8,16.65,4,85.98,3.25,2.16
Bagasse Fiber,Garment Bag,Textiles,6,8.92,9,77.14,2.15,0.492
Bagasse Fiber,Laptop Box,Electronics,5,10.14,8,84.14,2.31,0.515
Corrugated Cardboard,Appliance Carton,Home Appliances,7,33.26,7,89.9,1.01,0.763
Mushroom Packaging,Protective Cushioning Pack,Furniture,7,12.5,9,70.37,2.06,0.368
Mushroom Packaging,Perfume Bottle,Cosmetics,5,12.43,10,60.83,1.42,0.408
PLA Bioplastic,TV Carton,Electronics,6,8.87,8,55.93,2.16,1.16
PLA Bioplastic,Cement Liner Bag,Construction,8,17.41,8,53.48,1.07,1.265
Glass,Spare Parts Box,Automotive,10,35.29,2,97.57,3.86,1.76
Mushroom Packaging,Syringe Pack,Healthcare,5,17.76,9,64.11,2.45,0.393
Glass,Medical Container,Healthcare,10,35.49,1,99.48,3.15,1.799
Bagasse Fiber,Clothing Box,Textiles,7,14.82,9,77.29,1.8,0.529
Kraft Paper,Protective Box,Home Appliances,6,6.11,9,89.32,0.34,0.57
Kraft Paper,Clothing Box,Textiles,5,7.74,8,91.76,0.34,0.536
Corrugated Cardboard,Cream Jar,Cosmetics,9,34.81,8,90.16,1.73,0.815
Kraft Paper,TV Carton,Electronics,4,12.55,8,94.78,0.73,0.613
Aluminum,Food Tray,Food Packaging,10,29.84,1,96.35,2.88,3.556
Recycled PET,Foam Insert Package,Home Appliances,8,25.89,4,94.65,2.81,2.06
Mushroom Packaging,Makeup Box,Cosmetics,5,12.13,9,65.95,2.97,0.412
Recycled PET,Makeup Box,Cosmetics,9,28.1,4,93.77,2.04,2.23
Mushroom Packaging,Battery Packaging,Automotive,6,13.58,10,79.84,2.63,0.441
Mushroom Packaging,Beverage Bottle,Food Packaging,6,14.58,9,71.1,1.4,0.354
PLA Bioplastic,Assembly Kit Box,Furniture,7,12.26,6,66.96,1.1,1.282
Bagasse Fiber,Garment Bag,Textiles,5,6.1,8,84.37,1.7,0.631
PLA Bioplastic,Electronic Blister Pack,Electronics,9,9.79,8,52.49,2.08,1.212
Mushroom Packaging,Tile Packaging,Construction,6,13.93,9,73.26,2.67,0.232
Recycled PET,Action Figure Pack,Toys,9,24.29,2,93.74,3.32,2.028
Recycled PET,Cosmetic Tube,Cosmetics,9,23.42,3,89.87,3.94,2.017
Aluminum,Protective Box,Home Appliances,10,27.47,2,98.73,4.05,3.523
Recycled PET,Garment Bag,Textiles,10,27.38,4,89.4,2.31,2.059
Aluminum,Tile Packaging,Construction,8,26.51,2,99.01,4.89,3.471
Glass,Electronic Blister Pack,Electronics,9,23.47,2,98.18,3.08,1.791
Glass,Action Figure Pack,Toys,10,27.68,1,95.83,3.76,1.818
Glass,Tablet Blister Pack,Healthcare,10,25.46,1,99.65,2.31,1.802
PLA Bioplastic,Perfume Bottle,Cosmetics,7,18.23,7,59.16,1.05,1.226
Kraft Paper,Oil Container,Automotive,7,5.5,10,89.96,1.46,0.573
Corrugated Cardboard,Medical Container,Healthcare,9,29.14,8,84.79,1.75,0.777
Bagasse Fiber,Hardware Container,Construction,5,6.62,9,74.23,1.98,0.483
Aluminum,Assembly Kit Box,Furniture,9,23.74,2,99.22,3.73,3.447
Recycled PET,Toy Box,Toys,10,15.94,3,90.62,1.93,2.003
Corrugated Cardboard,Oil Container,Automotive,8,18.68,9,86.58,0.73,0.839
Mushroom Packaging,Beverage Bottle,Food Packaging,7,11.93,10,68.38,1.78,0.355
Kraft Paper,Laptop Box,Electronics,4,7.57,10,88.38,0.96,0.558
Recycled PET,Perfume Bottle,Cosmetics,8,17.75,2,86.51,3.29,2.131
Kraft Paper,Cement Liner Bag,Construction,4,13.51,10,87.27,1.09,0.619
Corrugated Cardboard,Fabric Wrap,Textiles,8,27.7,7,87.35,0.92,0.802
Corrugated Cardboard,Board Game Box,Toys,7,14.14,8,81.17,1.93,0.744
Aluminum,Perfume Bottle,Cosmetics,9,24.36,1,97.56,4.71,3.533
Mushroom Packaging,Fabric Wrap,Textiles,7,15.86,10,70.9,2.48,0.442
Bagasse Fiber,Tile Packaging,Construction,6,6.16,8,79.89,1.84,0.482
PLA Bioplastic,Tile Packaging,Construction,6,13.41,7,61.05,1.84,1.218
PLA Bioplastic,Food Tray,Food Packaging,9,11.39,7,59.96,1.5,1.279
Bagasse Fiber,Action Figure Pack,Toys,7,13.4,9,72.93,1.41,0.494
Bagasse Fiber,Clothing Box,Textiles,5,11.71,10,79.64,2.09,0.456
Kraft Paper,Food Tray,Food Packaging,7,11.96,9,94.06,0.32,0.642
Mushroom Packaging,Protective Box,Home Appliances,6,9.41,9,60.67,1.47,0.379
Mushroom Packaging,Pizza Box,Food Packaging,7,11.13,10,77.65,1.31,0.363
